ID_CULTIVO,N_EVENTOS_DESPESCA,KG_DESPESCADO,KG_VENDIDO,KG_DOADO,ANIMAIS_DESPESCADOS,PESO_MEDIO_DESPESCA,N_DESBASTES,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,SOBREVIVENCIA,PRODUTIVIDADE_KG_HA,SOBREVIVENCIA_VALIDA
V13_C2,4,2098.0,2098.0,0.0,127816.59591373439,17.62,3,13,244000.0,3.01,0.5238385078431738,697.0099667774086,True
V13_C3,3,2330.5,2330.5,0.0,146209.46489104116,16.52,1,13,280000.0,3.01,0.522176660325147,774.2524916943522,True
V13_C4,2,2893.0,2892.0,1.0,194114.5326016785,15.49,1,13,270000.0,3.01,0.7189427133395501,961.1295681063124,True
V13_C5,2,2612.0,2612.0,0.0,213849.71417133708,12.49,1,13,215000.0,3.01,0.9946498333550562,867.7740863787376,True
V13_C6,5,2457.0,2457.0,0.0,158895.45112781954,15.96,2,13,610000.0,3.01,0.2604843461111796,816.2790697674419,True
V13_C7,4,1990.0,1990.0,0.0,143130.4157782516,14.07,2,13,230000.0,3.01,0.6223061555576156,661.1295681063124,True
V13_C8,3,2968.0,2968.0,0.0,179935.75412510193,18.0,1,13,245000.0,3.01,0.734431649490212,986.0465116279071,True
V13_C9,1,193.0,193.0,0.0,19223.0,10.04,1,13,620000.0,3.01,0.03100483870967742,64.11960132890366,True
V14_C1,2,1802.0,1552.0,250.0,95790.97306397307,17.82,1,14,211000.0,2.15,0.4539856543316259,838.139534883721,True
V14_C2,4,1745.0,1741.0,4.0,147854.62218890555,13.34,3,14,220000.0,2.15,0.6720664644950252,811.6279069767443,True
V14_C3,2,2421.0,2402.0,19.0,138055.53311793215,18.57,1,14,310000.0,2.15,0.44534042941268437,1126.046511627907,True
V14_C4,6,1840.0,1830.0,10.0,90288.5970679698,22.51,4,14,625000.0,2.15,0.14446175530875166,855.8139534883721,True
V14_C5,3,1612.0,1612.0,0.0,118086.0,14.6,1,14,195000.0,2.15,0.6055692307692307,749.7674418604652,True
V14_C6,4,1768.0,1768.0,0.0,128328.32790224033,14.73,1,14,620000.0,2.15,0.2069811740358715,822.3255813953489,True
V14_C7,1,2448.0,2448.0,0.0,116571.42857142857,21.0,0,14,620000.0,2.15,0.1880184331797235,1138.6046511627908,True
V1_C1,5,4091.4,4049.4,42.0,264450.5167747427,15.7,2,1,370000.0,7.01,0.7147311264182235,583.6519258202568,True
V1_C2,14,8585.125,8053.0,532.125,347927.8093331502,28.0,9,1,775000.0,7.01,0.448939108816968,1224.6968616262482,True
V1_C3,12,7658.0,7534.0,124.0,351059.25312471465,20.29,6,1,650000.0,7.01,0.5400911586534072,1092.4393723252497,True
V1_C4,13,7390.5,6955.0,435.5,310165.0389671583,33.25,9,1,750000.0,7.01,0.4135533852895444,1054.2796005706134,True
V1_C5,10,5057.8,5057.8,0.0,308518.4684182969,20.05,5,1,890000.0,7.01,0.34664996451494035,721.5121255349501,True
V1_C6,8,4767.0,4762.0,5.0,295569.9916589435,10.46,6,1,720000.0,7.01,0.41051387730408817,680.0285306704708,True
V1_C7,4,5596.0,5596.0,0.0,326733.7869042445,15.34,2,1,535000.0,7.01,0.6107173586995225,798.2881597717546,True
V1_C8,5,1365.0,1360.0,5.0,66190.0,24.9,5,1,360000.0,7.01,0.18386111111111111,194.72182596291015,True
V3_C1,4,3086.0,3086.0,0.0,198472.20195563865,18.55,1,3,210000.0,2.72,0.9451057235982793,1134.5588235294117,True
V3_C2,6,2782.0,2760.0,22.0,99051.23362631131,35.27,5,3,245000.0,2.72,0.4042907494951482,1022.7941176470588,True
V3_C3,1,2374.0,2374.0,0.0,155163.39869281044,15.3,0,3,310000.0,2.72,0.5005270925574531,872.7941176470588,True
V3_C4,5,2513.0,2513.0,0.0,114937.58671586716,27.1,4,3,270000.0,2.72,0.42569476561432285,923.8970588235294,True
V3_C5,2,2152.0,2152.0,0.0,145681.47422680413,15.52,1,3,270000.0,2.72,0.5395610156548301,791.1764705882352,True
