DATA,KG_VENDA,KG_DOACAO,NF,PESO_MEDIO,QTD_ANIMAIS_TEXTO,DESBASTE,KG,ID_CULTIVO,VIVEIRO,QTD_ANIMAIS_CALC,QTD_ANIMAIS
01/10/2024,73.0,0.0,,15.58,4685.0,True,73.0,V12B5_C5,12B5,4685.494223363286,4685.0
08/10/2024,121.0,0.0,1.665,13.68,8845.0,True,121.0,V12B5_C5,12B5,8845.029239766081,8845.0
10/10/2024,264.0,0.0,1.670,13.54,19497.0,True,264.0,V12A_C5,12A,19497.784342688334,19497.0
15/10/2024,400.0,0.0,1.672,15.69,,False,400.0,V12B5_C5,12B5,25493.945188017846,25493.945188017846
17/10/2024,300.0,0.0,1.675,14.58,,False,300.0,V12B5_C5,12B5,20576.1316872428,20576.1316872428
17/10/2024,200.0,0.0,1.676,14.58,,False,200.0,V12B5_C5,12B5,13717.421124828532,13717.421124828532
05/04/2025,1638.0,0.0,1.760,12.96,,False,1638.0,V12B5_C7,12B5,126388.88888888888,126388.88888888888
21/12/2022,436.0,0.0,1.319.,10.67,40862.0,True,436.0,V13_C1,13,40862.230552952205,40862.0
16/02/2023,2352.0,0.0,1.358.,14.42,,False,2352.0,V13_C1,13,163106.79611650485,163106.79611650485
16/02/2023,150.0,0.0,1.359.,14.42,,False,150.0,V13_C1,13,10402.219140083218,10402.219140083218
28/04/2023,264.0,0.0,1.393,10.28,25680.0,True,264.0,V13_C2,13,25680.93385214008,25680.0
03/07/2023,800.0,0.0,1.426,18.41,43454.0,True,800.0,V13_C2,13,43454.64421510049,43454.0
03/07/2023,1008.0,0.0,1.425,17.62,57207.0,True,1008.0,V13_C2,13,57207.718501702606,57207.0
13/07/2023,990.0,0.0,1.435,25.57,,False,990.0,V12B4_C2,12B4,38717.246773562765,38717.246773562765
13/10/2023,1096.5,0.0,1.486,12.82,,False,1096.5,V12B4_C3,12B4,85530.42121684867,85530.42121684867
30/01/2024,102.0,0.0,1.533,11.43,8924.0,True,102.0,V12B4_C4,12B4,8923.884514435696,8924.0
13/03/2024,1215.0,0.0,1.545,19.75,,False,1215.0,V12B4_C4,12B4,61518.987341772154,61518.987341772154
23/04/2024,180.0,0.0,,1.8,,False,180.0,V12B4_C5,12B4,100000.0,100000.0
23/04/2024,45.0,0.0,,1.8,,False,45.0,V12B4_C5,12B4,25000.0,25000.0
07/08/2024,232.0,0.0,1.620,13.27,17483.0,True,232.0,V12B4_C6,12B4,17483.044461190657,17483.0
12/08/2024,219.0,0.0,1.621,15.2,14407.0,True,219.0,V12B4_C6,12B4,14407.894736842107,14407.0
12/07/2023,2156.0,0.0,1.434,16.72,,False,2156.0,V12B5_C2,12B5,128947.36842105264,128947.36842105264
31/03/2025,354.5,0.0,1.755,12.65,28023.0,True,354.5,V12B4_C9,12B4,28023.71541501976,28023.0
12/04/2025,373.0,0.0,1.773,17.96,20768.0,True,373.0,V12B4_C9,12B4,20768.374164810688,20768.0
12/04/2025,90.0,0.0,1.775,17.96,5011.0,True,90.0,V12B4_C9,12B4,5011.135857461024,5011.0
13/04/2025,36.0,0.0,1.778,17.96,,False,36.0,V12B4_C9,12B4,2004.4543429844098,2004.4543429844098
12/02/2023,588.0,0.0,1.356.,21.81,26960.0,True,588.0,V12B5_C1,12B5,26960.110041265478,26960.0
19/12/2022,569.0,0.0,1.309.,12.02,,False,569.0,V12B5_C1,12B5,47337.77038269551,47337.77038269551
13/02/2023,1009.0,0.0,1.357.,19.67,,False,1009.0,V12B5_C1,12B5,51296.39044229791,51296.39044229791
24/05/2023,216.0,0.0,1.407,9.92,21774.0,True,216.0,V12B5_C2,12B5,21774.1935483871,21774.0
13/08/2024,304.0,0.0,1.623,14.69,,False,304.0,V12B4_C6,12B4,20694.349897889722,20694.349897889722
24/10/2022,1006.4,0.0,1.289,15.24,66023.0,True,1006.4,V1_C1,1,66036.74540682415,66023.0
01/03/2023,1302.0,0.0,1.364,17.82,,False,1302.0,V14_C1,14,73063.97306397307,73063.97306397307
23/05/2023,126.0,0.0,1.406,7.79,16174.0,True,126.0,V14_C2,14,16174.582798459563,16174.0
24/05/2023,74.0,0.0,1.407,7.79,9499.0,True,74.0,V14_C2,14,9499.358151476252,9499.0
22/01/2024,1800.0,0.0,1.527,18.57,,False,1800.0,V14_C3,14,96930.53311793215,96930.53311793215
19/06/2024,442.0,0.0,1.607,21.2,20849.0,True,442.0,V14_C4,14,20849.056603773584,20849.0
12/07/2024,504.0,0.0,1.614,24.28,20757.0,True,504.0,V14_C4,14,20757.82537067545,20757.0
